Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,5.254138469696045,5.1774342610285835,0.9554140127388535,0.5089058524173028
2,5.073883256912231,4.954244613647461,3.248407643312102,9.033078880407125
3,4.724765348434448,4.497918715843787,10.159235668789808,16.921119592875318
4,4.207970242500306,3.9484156645261326,15.286624203821656,21.119592875318066
5,3.709414529800415,3.4434776856349063,21.369426751592357,32.95165394402036
6,3.303856930732727,3.0309298588679385,26.24203821656051,41.98473282442748
7,2.99028666973114,2.769560685524574,32.1656050955414,44.783715012722645
8,2.729792103767395,2.4727310767540565,36.33757961783439,54.32569974554708
9,2.5197299408912657,2.2329695591559777,39.10828025477707,56.61577608142493
10,2.32079564332962,2.045122687633221,43.94904458598726,62.086513994910945
11,2.1569708681106565,1.8880078609173114,47.51592356687898,63.48600508905852
12,1.991390426158905,1.7350653318258433,51.43312101910828,65.52162849872774
13,1.8395097732543946,1.611618839777433,54.07643312101911,68.19338422391857
14,1.7601873356103896,1.4932860044332652,55.35031847133758,71.2468193384224
15,1.6523092675209046,1.384372591972351,58.18471337579618,73.40966921119593
16,1.5482398509979247,1.328911276964041,61.87898089171974,71.62849872773536
17,1.4725224977731706,1.2273943699323213,61.81528662420382,74.93638676844783
18,1.3850940823554994,1.1706811143801763,63.63057324840764,75.44529262086515
19,1.3043864554166793,1.1302612332197337,67.61146496815287,77.09923664122137
20,1.268187764286995,1.0417526776974018,66.27388535031847,78.11704834605598
